EstacaoCodigo;NivelConsistencia;Data;Hora;MediaDiaria;MetodoObtencaoVazoes;Maxima;Minima;Media;DiaMaxima;DiaMinima;MaximaStatus;MinimaStatus;MediaStatus;MediaAnual;MediaAnualStatus;Vazao01;Vazao02;Vazao03;Vazao04;Vazao05;Vazao06;Vazao07;Vazao08;Vazao09;Vazao10;Vazao11;Vazao12;Vazao13;Vazao14;Vazao15;Vazao16;Vazao17;Vazao18;Vazao19;Vazao20;Vazao21;Vazao22;Vazao23;Vazao24;Vazao25;Vazao26;Vazao27;Vazao28;Vazao29;Vazao30;Vazao31;Vazao01Status;Vazao02Status;Vazao03Status;Vazao04Status;Vazao05Status;Vazao06Status;Vazao07Status;Vazao08Status;Vazao09Status;Vazao10Status;Vazao11Status;Vazao12Status;Vazao13Status;Vazao14Status;Vazao15Status;Vazao16Status;Vazao17Status;Vazao18Status;Vazao19Status;Vazao20Status;Vazao21Status;Vazao22Status;Vazao23Status;Vazao24Status;Vazao25Status;Vazao26Status;Vazao27Status;Vazao28Status;Vazao29Status;Vazao30Status;Vazao31Status,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"65925770;1;01/12/2008;;1;1;""0","3"";""0","1"";""0","1645"";1;20;1;1;1;;0;""0","3"";""0","2"";""0","2"";""0","2"";""0","2"";""0","2"";""0","2"";""0","2"";""0","2"";""0","2"";""0","2"";""0","2"";""0","2"";""0","2"";""0","2"";""0","2"";""0","2"";""0","2"";""0","2"";""0","1"";""0","1"";""0","1"";""0","1"";""0","1"";""0","1"";""0","1"";""0","1"";""0","1"";""0","1"";""0","1"";""0","1"";1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1"
"65925770;1;01/11/2008;;1;1;""5","5"";""0","3"";""1","1667"";2;24;1;1;1;;0;""4","2"";""5","5"";""3","8"";""2","7"";""2","1"";""1","4"";""1","2"";""1","0"";""0","8"";""0","6"";""0","6"";""0","5"";""0","6"";""2","1"";""1","6"";""1","0"";""0","6"";""0","5"";""0","5"";""0","4"";""0","4"";""0","4"";""0","4"";""0","3"";""0","3"";""0","3"";""0","3"";""0","3"";""0","3"";""0","3"";;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;",
"65925770;1;01/10/2008;;1;1;""5","5"";""0","2"";""1","3129"";4;1;1;1;1;;0;""0","2"";""0","2"";""0","3"";""5","5"";""4","3"";""3","4"";""2","5"";""0","6"";""0","5"";""0","4"";""0","5"";""0","5"";""0","4"";""0","4"";""0","4"";""0","4"";""2","3"";""1","0"";""0","5"";""0","5"";""0","5"";""0","5"";""0","5"";""0","5"";""0","5"";""0","6"";""0","6"";""0","6"";""5","5"";""3","6"";""2","5"";1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1"
"65925770;1;01/09/2008;;1;1;""0","5"";""0","2"";""0","2733"";11;3;1;1;1;;0;""0","3"";""0","3"";""0","2"";""0","2"";""0","2"";""0","2"";""0","2"";""0","2"";""0","2"";""0","2"";""0","5"";""0","5"";""0","5"";""0","4"";""0","4"";""0","3"";""0","3"";""0","3"";""0","3"";""0","3"";""0","3"";""0","3"";""0","2"";""0","2"";""0","2"";""0","2"";""0","2"";""0","2"";""0","2"";""0","2"";;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;",
"65925770;1;01/08/2008;;1;1;""4","4"";""0","2"";""0","8806"";15;1;1;1;1;;0;""0","2"";""0","3"";""0","2"";""0","2"";""0","2"";""0","2"";""0","2"";""0","3"";""0","3"";""0","3"";""0","3"";""0","4"";""1","0"";""3","2"";""4","4"";""4","0"";""3","6"";""2","8"";""1","0"";""0","5"";""0","5"";""0","4"";""0","4"";""0","3"";""0","3"";""0","3"";""0","3"";""0","3"";""0","3"";""0","3"";""0","3"";1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1"
"65925770;1;01/07/2008;;1;1;""0","5"";""0","2"";""0","3226"";1;25;1;1;1;;0;""0","5"";""0","5"";""0","5"";""0","5"";""0","4"";""0","4"";""0","4"";""0","4"";""0","4"";""0","4"";""0","3"";""0","3"";""0","3"";""0","3"";""0","3"";""0","3"";""0","3"";""0","3"";""0","3"";""0","3"";""0","3"";""0","3"";""0","3"";""0","3"";""0","2"";""0","2"";""0","2"";""0","2"";""0","2"";""0","2"";""0","2"";1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1"
"65925770;1;01/06/2008;;1;1;""4","8"";""0","2"";""0","75"";28;1;1;1;1;;0;""0","2"";""0","3"";""3","4"";""0","6"";""0","4"";""0","3"";""0","3"";""0","3"";""0","3"";""0","5"";""0","4"";""0","6"";""0","6"";""0","6"";""0","6"";""0","6"";""0","5"";""0","5"";""0","5"";""0","4"";""0","4"";""0","4"";""0","3"";""0","3"";""0","3"";""0","4"";""0","5"";""4","8"";""2","4"";""0","8"";;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;",
"65925770;1;01/05/2008;;1;1;""2","1"";""0","3"";""0","5839"";1;22;1;1;1;;0;""2","1"";""1","9"";""1","0"";""1","5"";""1","0"";""0","8"";""0","6"";""0","5"";""0","5"";""0","5"";""0","5"";""0","4"";""0","4"";""0","4"";""0","4"";""0","4"";""0","4"";""0","4"";""0","4"";""0","4"";""0","4"";""0","3"";""0","3"";""0","3"";""0","3"";""0","3"";""0","3"";""0","3"";""0","5"";""0","3"";""0","3"";1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1"
"65925770;1;01/04/2008;;1;1;""5","3"";""0","1"";""1","1367"";17;1;1;1;1;;0;""0","1"";""0","1"";""0","15"";""0","1"";""0","1"";""0","1"";""0","1"";""0","1"";""0","1"";""0","1"";""0","1"";""0","4"";""0","3"";""1","9"";""0","5"";""0","4"";""5","3"";""3","2"";""2","75"";""3","4"";""1","9"";""1","2"";""0","6"";""0","5"";""0","5"";""0","5"";""0","5"";""0","4"";""4","7"";""4","0"";;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;",
"65925770;1;01/03/2008;;1;1;""0","5"";""0","2"";""0","2419"";1;5;1;1;1;;0;""0","5"";""0","4"";""0","3"";""0","3"";""0","2"";""0","2"";""0","2"";""0","2"";""0","3"";""0","3"";""0","3"";""0","3"";""0","3"";""0","3"";""0","2"";""0","2"";""0","2"";""0","2"";""0","2"";""0","2"";""0","2"";""0","2"";""0","2"";""0","2"";""0","2"";""0","2"";""0","2"";""0","2"";""0","2"";""0","2"";""0","2"";1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1"
"65925770;1;01/02/2008;;1;1;""0","6"";""0","1"";""0","1828"";29;20;1;1;1;;0;""0","2"";""0","2"";""0","2"";""0","2"";""0","2"";""0","2"";""0","2"";""0","2"";""0","2"";""0","2"";""0","2"";""0","2"";""0","2"";""0","2"";""0","2"";""0","2"";""0","2"";""0","2"";""0","2"";""0","1"";""0","1"";""0","1"";""0","1"";""0","1"";""0","1"";""0","1"";""0","1"";""0","1"";""0","6"";;;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;;",,
"65925770;1;01/01/2008;;1;1;""0","6"";""0","2"";""0","2677"";11;1;1;1;1;;0;""0","2"";""0","3"";""0","3"";""0","3"";""0","3"";""0","3"";""0","2"";""0","2"";""0","2"";""0","2"";""0","6"";""0","3"";""0","3"";""0","3"";""0","2"";""0","2"";""0","2"";""0","2"";""0","5"";""0","4"";""0","3"";""0","3"";""0","3"";""0","2"";""0","3"";""0","2"";""0","2"";""0","2"";""0","2"";""0","2"";""0","2"";1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1"
"65925770;1;01/12/2007;;1;1;""1","75"";""0","2"";""0","4113"";6;30;1;1;1;;0;""0","4"";""0","4"";""0","3"";""0","3"";""0","6"";""1","75"";""0","6"";""0","6"";""0","45"";""0","4"";""0","6"";""0","45"";""0","4"";""0","4"";""0","4"";""0","4"";""0","3"";""0","3"";""0","3"";""0","3"";""0","3"";""0","3"";""0","3"";""0","3"";""0","3"";""0","3"";""0","3"";""0","3"";""0","3"";""0","2"";""0","2"";1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1"
"65925770;1;01/11/2007;;1;1;""5","5"";""0","4"";""2","5833"";9;28;1;1;1;;0;""1","0"";""4","2"";""4","9"";""2","8"";""1","9"";""1","1"";""0","6"";""0","5"";""5","5"";""5","5"";""5","5"";""5","5"";""4","2"";""5","5"";""5","5"";""5","3"";""4","0"";""3","6"";""3","0"";""1","6"";""1","3"";""0","6"";""0","6"";""0","6"";""0","5"";""0","5"";""0","5"";""0","4"";""0","4"";""0","4"";;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;",
"65925770;1;01/10/2007;;1;1;""5","5"";""0","2"";""1","0548"";16;4;1;1;1;;0;""0","3"";""0","3"";""0","3"";""0","2"";""0","2"";""0","2"";""0","2"";""0","2"";""0","2"";""0","2"";""0","3"";""0","55"";""0","5"";""0","45"";""3","0"";""5","5"";""4","7"";""2","5"";""1","3"";""0","6"";""2","3"";""2","8"";""1","6"";""0","7"";""0","55"";""0","5"";""0","5"";""0","5"";""0","5"";""0","55"";""0","5"";1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1"
"65925770;1;01/09/2007;;1;1;""0","55"";""0","1"";""0","275"";22;17;1;1;1;;0;""0","4"";""0","35"";""0","3"";""0","3"";""0","3"";""0","3"";""0","25"";""0","2"";""0","2"";""0","2"";""0","2"";""0","2"";""0","2"";""0","2"";""0","2"";""0","2"";""0","1"";""0","1"";""0","2"";""0","2"";""0","2"";""0","55"";""0","5"";""0","4"";""0","4"";""0","4"";""0","3"";""0","3"";""0","3"";""0","3"";;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;",
"65925770;1;01/08/2007;;1;1;""3","1"";""0","2"";""0","3726"";31;20;1;1;1;;0;""0","4"";""0","35"";""0","3"";""0","3"";""0","3"";""0","3"";""0","3"";""0","3"";""0","3"";""0","3"";""0","3"";""0","3"";""0","3"";""0","3"";""0","3"";""0","3"";""0","3"";""0","3"";""0","3"";""0","2"";""0","2"";""0","2"";""0","2"";""0","2"";""0","2"";""0","3"";""0","3"";""0","3"";""0","3"";""0","2"";""3","1"";1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1"
"65925770;1;01/07/2007;;1;1;""0","6"";""0","2"";""0","3871"";9;4;1;1;1;;0;""0","3"";""0","3"";""0","3"";""0","2"";""0","2"";""0","2"";""0","2"";""0","35"";""0","6"";""0","5"";""0","4"";""0","4"";""0","4"";""0","4"";""0","4"";""0","4"";""0","4"";""0","5"";""0","5"";""0","45"";""0","4"";""0","5"";""0","5"";""0","4"";""0","4"";""0","4"";""0","4"";""0","4"";""0","4"";""0","4"";""0","4"";1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1"
"65925770;1;01/06/2007;;1;1;""0","9"";""0","3"";""0","4033"";1;19;1;1;1;;0;""0","9"";""0","6"";""0","6"";""0","5"";""0","5"";""0","5"";""0","5"";""0","4"";""0","4"";""0","4"";""0","4"";""0","4"";""0","4"";""0","4"";""0","4"";""0","4"";""0","4"";""0","4"";""0","3"";""0","3"";""0","3"";""0","3"";""0","3"";""0","3"";""0","3"";""0","3"";""0","3"";""0","3"";""0","3"";""0","3"";;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;",
"65925770;1;01/05/2007;;1;1;""5","5"";""0","5"";""2","4823"";17;6;1;1;1;;0;""1","5"";""1","1"";""0","9"";""0","6"";""0","55"";""0","5"";""1","6"";""4","8"";""2","5"";""1","75"";""1","1"";""0","6"";""0","6"";""0","6"";""0","55"";""0","6"";""5","5"";""5","5"";""3","3"";""3","0"";""5","5"";""5","5"";""5","5"";""5","5"";""4","4"";""3","7"";""3","1"";""2","7"";""1","9"";""1","2"";""0","8"";1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1"
"65925770;1;01/04/2007;;1;1;""5","5"";""0","2"";""1","1017"";26;1;1;1;1;;0;""0","2"";""0","2"";""0","2"";""0","2"";""0","2"";""0","2"";""0","4"";""0","3"";""0","3"";""0","3"";""0","3"";""0","4"";""0","4"";""0","3"";""1","2"";""0","6"";""0","5"";""0","45"";""0","4"";""0","4"";""0","4"";""0","3"";""0","3"";""0","4"";""4","6"";""5","5"";""5","5"";""3","7"";""2","8"";""2","1"";;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;",
"65925770;1;01/03/2007;;1;1;""0","6"";""0","2"";""0","3194"";3;1;1;1;1;;0;""0","2"";""0","2"";""0","6"";""0","6"";""0","5"";""0","4"";""0","4"";""0","4"";""0","3"";""0","3"";""0","3"";""0","3"";""0","3"";""0","3"";""0","3"";""0","3"";""0","4"";""0","4"";""0","3"";""0","3"";""0","3"";""0","3"";""0","3"";""0","3"";""0","3"";""0","3"";""0","2"";""0","2"";""0","2"";""0","2"";""0","2"";1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1"
"65925770;1;01/02/2007;;1;1;""0","4"";""0","2"";""0","2429"";22;1;1;1;1;;0;""0","2"";""0","2"";""0","2"";""0","2"";""0","2"";""0","2"";""0","2"";""0","2"";""0","2"";""0","2"";""0","2"";""0","2"";""0","2"";""0","2"";""0","2"";""0","2"";""0","2"";""0","35"";""0","2"";""0","35"";""0","3"";""0","4"";""0","4"";""0","3"";""0","3"";""0","3"";""0","3"";""0","2"";;;;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;;;",,,
"65925770;1;01/01/2007;;1;1;""2","4"";""0","2"";""0","3355"";20;1;1;1;1;;0;""0","2"";""0","2"";""0","25"";""0","3"";""0","3"";""0","3"";""0","3"";""0","25"";""0","2"";""0","2"";""0","2"";""0","2"";""0","2"";""0","2"";""0","2"";""0","2"";""0","2"";""0","2"";""0","2"";""2","4"";""0","55"";""0","4"";""0","3"";""0","3"";""0","3"";""0","35"";""0","4"";""0","3"";""0","3"";""0","3"";""0","2"";1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1"
"65925770;1;01/12/2006;;1;1;""0","5"";""0","1"";""0","1952"";24;8;1;1;1;;0;""0","2"";""0","2"";""0","2"";""0","2"";""0","2"";""0","2"";""0","2"";""0","1"";""0","1"";""0","1"";""0","1"";""0","1"";""0","1"";""0","1"";""0","3"";""0","2"";""0","15"";""0","1"";""0","1"";""0","15"";""0","2"";""0","15"";""0","2"";""0","5"";""0","4"";""0","3"";""0","3"";""0","3"";""0","2"";""0","2"";""0","2"";1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1"
"65925770;1;01/11/2006;;1;1;""0","3"";""0","2"";""0","21"";6;1;1;1;1;;0;""0","2"";""0","2"";""0","2"";""0","2"";""0","2"";""0","3"";""0","3"";""0","3"";""0","2"";""0","2"";""0","2"";""0","2"";""0","2"";""0","2"";""0","2"";""0","2"";""0","2"";""0","2"";""0","2"";""0","2"";""0","2"";""0","2"";""0","2"";""0","2"";""0","2"";""0","2"";""0","2"";""0","2"";""0","2"";""0","2"";;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;",
"65925770;1;01/10/2006;;1;1;""0","4"";""0","1"";""0","2435"";1;28;1;1;1;;0;""0","4"";""0","4"";""0","3"";""0","3"";""0","3"";""0","3"";""0","3"";""0","3"";""0","3"";""0","3"";""0","3"";""0","3"";""0","25"";""0","2"";""0","2"";""0","2"";""0","2"";""0","2"";""0","2"";""0","2"";""0","2"";""0","2"";""0","2"";""0","2"";""0","2"";""0","2"";""0","2"";""0","1"";""0","1"";""0","3"";""0","2"";1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1"
"65925770;1;01/09/2006;;1;1;""0","5"";""0","2"";""0","2967"";2;1;1;1;1;;0;""0","2"";""0","5"";""0","4"";""0","35"";""0","3"";""0","3"";""0","3"";""0","3"";""0","4"";""0","3"";""0","3"";""0","3"";""0","2"";""0","2"";""0","2"";""0","2"";""0","2"";""0","2"";""0","2"";""0","5"";""0","4"";""0","35"";""0","4"";""0","3"";""0","3"";""0","3"";""0","3"";""0","3"";""0","2"";""0","2"";;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;",
"65925770;1;01/08/2006;;1;1;""3","2"";""0","1"";""0","2855"";16;1;1;1;1;;0;""0","1"";""0","1"";""0","1"";""0","1"";""0","1"";""0","1"";""0","1"";""0","1"";""0","1"";""0","1"";""0","1"";""0","1"";""0","1"";""0","1"";""0","1"";""3","2"";""0","6"";""0","5"";""0","4"";""0","3"";""0","3"";""0","25"";""0","2"";""0","2"";""0","2"";""0","2"";""0","2"";""0","2"";""0","2"";""0","2"";""0","2"";1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1"
